Ticker,Last Price,30d MA,Max (60d),Drop from ATH (%),SMA50,SMA100,SMA200,EMA20,EMA50,EMA12,EMA26,VWAP,VWAP Diff (%),Swing High (%),Swing Low (%),RSI,Strefa,EMA Crossover
ACP.WA,177.2,158.2,177.2,0.0,155.76,135.49,N/A,166.22,155.49,170.32,163.69,130.56,26.32,0.0,23.7,85.76,Blisko Swing High,Bullish
ALR.WA,105.4,105.52,123.15,14.41,107.71,100.14,N/A,106.12,105.3,106.02,106.16,98.75,6.31,16.84,13.83,57.97,Neutral,Bearish
AMB.WA,21.15,21.34,23.6,10.38,21.53,22.26,N/A,21.29,21.6,21.22,21.35,22.13,-4.64,11.58,0.71,45.83,Blisko Swing Low,Bearish
AMC.WA,63.5,62.6,71.8,11.56,64.46,63.04,N/A,63.31,63.63,63.34,63.39,62.16,2.11,13.07,6.3,56.76,Neutral,Bearish
APN.WA,19.7,19.33,21.2,7.08,19.75,20.19,N/A,19.57,19.72,19.62,19.58,19.85,-0.74,7.61,5.84,66.67,Neutral,Bullish
AST.WA,53.5,55.33,64.2,16.67,55.08,50.68,N/A,57.9,55.21,58.86,57.23,51.11,4.48,20.0,8.79,51.09,Neutral,Bullish
ATT.WA,24.0,21.94,25.14,4.53,21.79,21.35,N/A,23.13,22.16,23.68,22.83,21.51,10.38,4.75,20.67,70.17,Blisko Swing High,Bullish
BNP.WA,104.5,104.38,111.0,5.86,102.64,94.04,N/A,105.5,102.07,105.81,104.95,93.06,10.95,6.22,15.53,46.88,Neutral,Bullish
BOS.WA,10.6,10.9,14.0,24.29,11.76,11.73,N/A,10.88,11.35,10.72,11.0,11.57,-9.17,32.08,1.51,31.08,Blisko Swing Low,Bearish
BRS.WA,6.42,5.84,7.02,8.55,5.29,5.29,N/A,6.14,5.66,6.29,6.01,5.97,7.07,9.35,41.51,61.64,Neutral,Bullish
CIG.WA,2.19,1.84,2.19,0.0,1.78,1.69,N/A,1.96,1.83,2.04,1.92,1.69,22.68,0.0,26.39,92.0,Blisko Swing High,Bullish
CPS.WA,17.0,17.65,19.0,10.48,16.74,15.62,N/A,17.72,16.98,17.73,17.59,15.37,9.61,11.7,18.85,23.15,Neutral,Bullish
DNP.WA,527.2,517.27,556.2,5.21,496.53,472.92,N/A,529.69,506.75,535.5,524.31,465.99,11.61,5.5,16.6,49.21,Neutral,Bullish
DOM.WA,234.0,223.02,239.5,2.3,218.39,208.08,N/A,229.19,220.46,232.28,227.0,209.7,10.39,2.35,18.8,62.39,Blisko Swing High,Bullish
EAT.WA,16.4,16.64,17.74,7.55,16.8,17.12,N/A,16.56,16.81,16.42,16.63,17.16,-4.62,8.17,4.51,29.66,Blisko Swing Low,Bearish
ENA.WA,18.12,14.99,18.19,0.38,14.98,14.32,N/A,16.23,15.2,16.94,15.9,13.92,23.18,0.39,27.21,93.08,Blisko Swing High,Bullish
ENG.WA,12.06,11.77,14.0,13.86,11.88,12.76,N/A,12.01,12.11,12.09,11.99,12.74,-5.67,16.09,8.29,51.22,Neutral,Bullish
EUR.WA,9.48,10.35,11.44,17.18,9.88,9.17,N/A,10.31,9.99,10.21,10.28,8.88,6.26,20.74,7.12,28.49,Neutral,Bearish
FRO.WA,34.7,33.34,37.0,6.22,34.13,35.23,N/A,33.96,34.2,34.11,33.95,35.22,-1.51,6.63,11.82,48.98,Neutral,Bullish
GTC.WA,3.98,3.95,4.34,8.29,3.99,3.99,N/A,4.0,3.99,4.01,3.99,4.03,-1.3,9.05,5.53,45.9,Neutral,Bullish
ING.WA,299.0,301.06,314.52,4.93,299.44,279.62,N/A,304.46,297.26,305.32,303.27,266.45,10.89,5.19,11.36,46.38,Neutral,Bullish
KER.WA,19.8,18.92,24.6,19.51,19.33,18.81,N/A,19.66,19.4,19.85,19.57,20.95,-5.78,24.24,29.8,54.62,Neutral,Bullish
KRU.WA,394.2,390.6,442.6,10.94,391.84,408.52,N/A,399.49,398.3,401.83,398.22,403.36,-2.32,12.28,10.71,45.47,Neutral,Bullish
LWB.WA,24.0,21.52,24.0,0.0,21.67,22.34,N/A,22.08,21.94,22.4,21.98,22.29,7.12,0.0,16.75,77.78,Blisko Swing High,Bullish
MIL.WA,14.39,14.25,15.37,6.38,14.0,12.16,N/A,14.45,13.8,14.53,14.35,12.65,12.11,6.81,22.93,47.94,Neutral,Bullish
NEU.WA,708.0,704.2,843.0,16.01,737.58,788.19,N/A,715.38,736.07,713.44,718.38,798.43,-12.77,19.07,5.23,48.15,Neutral,Bearish
OPL.WA,9.93,9.5,9.93,0.0,9.24,8.54,N/A,9.63,9.27,9.71,9.55,8.44,15.02,0.0,17.41,59.93,Blisko Swing High,Bullish
PEO.WA,179.4,166.98,182.5,1.7,164.43,153.9,N/A,174.38,166.14,177.68,172.25,151.47,15.57,1.73,24.39,64.47,Blisko Swing High,Bullish
PKN.WA,71.68,68.32,73.0,1.81,68.12,61.64,N/A,70.51,67.61,71.49,69.86,59.94,16.37,1.84,16.43,68.22,Blisko Swing High,Bullish
PKO.WA,75.18,73.42,80.04,6.07,74.23,69.98,N/A,75.5,73.67,76.1,75.08,68.61,8.73,6.46,14.82,59.04,Neutral,Bullish
PLW.WA,308.5,294.67,315.0,2.06,289.63,295.12,N/A,301.32,295.79,304.56,299.41,291.64,5.46,2.11,11.67,56.94,Blisko Swing High,Bullish
PZU.WA,60.1,59.02,63.32,5.09,57.89,54.28,N/A,60.74,58.27,61.54,60.16,52.14,13.25,5.36,13.64,55.68,Neutral,Bullish
SAN.WA,29.8,26.79,30.25,1.5,26.56,24.28,N/A,28.1,26.66,28.76,27.73,24.47,17.89,1.53,25.13,84.53,Blisko Swing High,Bullish
TPE.WA,7.41,5.99,7.41,0.0,5.51,4.83,N/A,6.56,5.77,6.91,6.34,4.85,34.55,0.0,41.22,87.55,Blisko Swing High,Bullish
UNI.WA,10.95,10.44,12.0,8.75,10.0,9.26,N/A,10.99,10.23,11.24,10.8,9.24,15.65,9.59,22.92,52.31,Neutral,Bullish
WPL.WA,97.3,91.29,102.6,5.17,86.06,80.69,N/A,94.32,88.36,96.48,92.82,81.81,15.92,5.45,26.21,67.27,Neutral,Bullish
XTB.WA,83.5,81.41,90.2,7.43,75.73,72.75,N/A,83.63,78.45,85.07,82.35,72.54,13.12,8.02,24.53,54.58,Neutral,Bullish
ZEP.WA,24.0,19.67,25.65,6.43,18.68,17.51,N/A,21.47,19.5,22.67,20.86,20.33,15.28,6.87,32.92,73.31,Neutral,Bullish
